complaint_id,date,source,region,latitude,longitude,category,subcategory,description,resource_availability
C000018,2024-01-24,dept_safety,Thane,17.005547,73.729565,Fire,,Report: Fire problem reported near area hospital. citizen notes delays.,0.41
C000019,2025-10-07,dept_infrastructure,Nashik,17.942146,73.943618,Roads,,Report: Roads problem reported near area hospital. citizen notes delays.,0.49
C000020,2024-07-16,dept_health,Thane,17.858327,73.838435,Vector Control,,Report: Vector Control problem reported near area school. citizen notes delays.,0.95
C000021,2024-03-24,dept_infrastructure,Mumbai,17.734878,73.584004,Electricity,,Report: Electricity problem reported near area station. citizen notes delays.,0.96
C000022,2025-01-14,dept_infrastructure,Solapur,17.404888,73.067477,Electricity,,Report: Electricity problem reported near area station. citizen notes delays.,0.56
C000023,2024-12-14,dept_safety,Akola,17.152615,73.675786,Disaster Management,,Report: Disaster Management problem reported near area market. citizen notes delays.,0.28
C000024,2024-08-07,dept_safety,Thane,17.156811,73.415589,Disaster Management,,Report: Disaster Management problem reported near area school. citizen notes delays.,0.35
C000025,2025-10-02,dept_safety,Nashik,17.113582,73.843088,Public Safety,,Report: Public Safety problem reported near area market. citizen notes delays.,0.67
C000026,2024-05-04,dept_health,Nashik,17.015713,73.196976,Vector Control,,Report: Vector Control problem reported near area hospital. citizen notes delays.,0.38
C000027,2025-08-03,dept_safety,Solapur,17.285292,73.393881,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.76
C000028,2025-04-06,dept_infrastructure,Solapur,17.380482,73.464978,Drainage,,Report: Drainage problem reported near area station. citizen notes delays.,0.0
C000029,2025-08-22,dept_infrastructure,Kolhapur,17.507313,73.80353,Water Supply,,Report: Water Supply problem reported near area station. citizen notes delays.,0.79
C000030,2024-09-04,dept_health,Mumbai,17.683955,73.379823,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.95
C000031,2025-04-05,dept_infrastructure,Amravati,17.080327,73.04281,Water Supply,,Report: Water Supply problem reported near area school. citizen notes delays.,0.79
C000032,2025-03-24,dept_infrastructure,Amravati,17.741971,73.449828,Electricity,,Report: Electricity problem reported near area school. citizen notes delays.,0.72
C000033,2024-05-04,dept_health,Thane,17.631226,73.059132,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.81
C000034,2024-10-02,dept_health,Mumbai,17.018303,73.812477,Healthcare,,Report: Healthcare problem reported near area school. citizen notes delays.,0.58
C000035,2024-02-23,dept_safety,Pune,17.282794,73.547307,Public Safety,,Report: Public Safety problem reported near area station. citizen notes delays.,0.49
C000036,2025-06-24,dept_health,Amravati,17.199077,73.430818,Healthcare,,Report: Healthcare problem reported near area station. citizen notes delays.,0.61
C000037,2024-01-16,dept_infrastructure,Nagpur,17.337643,73.592388,Drainage,,Report: Drainage problem reported near area hospital. citizen notes delays.,0.17
C000038,2024-04-07,dept_safety,Kolhapur,17.248598,73.098616,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.84
C000039,2024-06-27,dept_safety,Aurangabad,17.880401,73.357463,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.28
C000040,2024-10-01,dept_health,Kolhapur,17.260748,73.726499,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.83
C000041,2025-03-20,dept_infrastructure,Mumbai,17.069134,73.481208,Water Supply,,Report: Water Supply problem reported near area market. citizen notes delays.,0.09
C000042,2025-09-05,dept_health,Kolhapur,17.909995,73.443315,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.37
C000043,2025-05-23,dept_health,Solapur,17.944531,73.783916,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.94
C000044,2024-10-14,dept_safety,Akola,17.911792,73.332315,Public Safety,,Report: Public Safety problem reported near area market. citizen notes delays.,0.89
C000045,2024-10-12,dept_health,Nashik,17.20627,73.600121,Healthcare,,Report: Healthcare problem reported near area school. citizen notes delays.,0.9
C000046,2024-06-11,dept_health,Nagpur,17.409913,73.410584,Healthcare,,Report: Healthcare problem reported near area school. citizen notes delays.,0.97
C000047,2025-05-22,dept_safety,Nashik,17.240455,73.738611,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.39
C000048,2024-11-27,dept_infrastructure,Thane,17.728498,73.327709,Water Supply,,Report: Water Supply problem reported near area school. citizen notes delays.,0.45
C000049,2024-11-10,dept_infrastructure,Pune,17.498835,73.826695,Drainage,,Report: Drainage problem reported near area school. citizen notes delays.,0.25
C000050,2024-10-15,dept_safety,Nashik,17.567922,73.309539,Disaster Management,,Report: Disaster Management problem reported near area station. citizen notes delays.,0.96
C000051,2024-05-10,dept_infrastructure,Mumbai,17.600833,73.20612,Electricity,,Report: Electricity problem reported near area station. citizen notes delays.,0.72
C000052,2025-02-07,dept_infrastructure,Amravati,17.457199,73.605707,Drainage,,Report: Drainage problem reported near area hospital. citizen notes delays.,0.18
C000053,2024-07-14,dept_infrastructure,Aurangabad,17.056885,73.176848,Electricity,,Report: Electricity problem reported near area station. citizen notes delays.,0.66
C000054,2025-03-20,dept_health,Aurangabad,17.999449,73.447312,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.24
C000055,2024-11-23,dept_safety,Amravati,17.762886,73.488964,Disaster Management,,Report: Disaster Management problem reported near area hospital. citizen notes delays.,0.54
C000056,2024-08-09,dept_safety,Thane,17.548993,73.78285,Public Safety,,Report: Public Safety problem reported near area station. citizen notes delays.,0.43
C000057,2025-02-08,dept_safety,Nashik,17.576819,73.623063,Disaster Management,,Report: Disaster Management problem reported near area hospital. citizen notes delays.,0.47
C000058,2024-10-21,dept_safety,Akola,17.469637,73.861528,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.82
C000059,2024-06-23,dept_infrastructure,Mumbai,17.917899,73.280443,Drainage,,Report: Drainage problem reported near area market. citizen notes delays.,0.2
C000060,2025-09-03,dept_infrastructure,Pune,17.916007,73.5806,Drainage,,Resident reports issue. Contact: 9093661560. Needs urgent fix.,0.46
C000061,2025-07-28,dept_health,Pune,17.72257,73.989357,Vector Control,,Report: Vector Control problem reported near area hospital. citizen notes delays.,0.84
C000062,2025-01-17,dept_health,Thane,17.149168,73.83858,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.11
C000063,2025-09-27,dept_infrastructure,Thane,17.857896,73.271981,Drainage,,Report: Drainage problem reported near area market. citizen notes delays.,0.75
C000064,2024-03-11,dept_health,Solapur,17.238133,73.763381,Healthcare,,Report: Healthcare problem reported near area hospital. citizen notes delays.,0.53
C000065,2025-02-25,dept_safety,Solapur,17.564327,73.855884,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.25
C000066,2025-07-20,dept_health,Thane,17.29646,73.49798,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.02
C000067,2024-09-20,dept_health,Amravati,17.384775,73.70634,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.11
C000068,2024-05-04,dept_health,Nashik,17.368183,73.911033,Healthcare,,Report: Healthcare problem reported near area hospital. citizen notes delays.,0.06
C000069,2024-10-17,dept_safety,Thane,17.95037,73.20185,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.86
C000070,2025-02-28,dept_health,Pune,17.116113,73.221283,Healthcare,,Report: Healthcare problem reported near area school. citizen notes delays.,0.5
C000071,2024-01-02,dept_infrastructure,Amravati,17.153461,73.793395,Roads,,Report: Roads problem reported near area station. citizen notes delays.,0.75
C000072,2025-05-15,dept_infrastructure,Nashik,17.803377,73.495772,Roads,,Report: Roads problem reported near area school. citizen notes delays.,0.7
C000073,2024-11-25,dept_health,Kolhapur,17.964103,73.782688,Sanitation,,Report: Sanitation problem reported near area market. citizen notes delays.,0.87
C000074,2024-01-22,dept_safety,Thane,17.151229,73.968552,Disaster Management,,Report: Disaster Management problem reported near area school. citizen notes delays.,0.41
C000075,2024-08-17,dept_safety,Aurangabad,17.651026,73.001386,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.02
C000076,2025-01-05,dept_health,Nashik,17.895438,73.602071,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.46
C000077,2025-01-02,dept_safety,Solapur,17.25206,73.585652,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.48
C000078,2025-09-14,dept_infrastructure,Pune,17.255846,73.01207,Roads,,Report: Roads problem reported near area hospital. citizen notes delays.,0.13
C000079,2025-07-02,dept_safety,Kolhapur,17.503158,73.879864,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.93
C000080,2024-09-21,dept_infrastructure,Kolhapur,17.764209,73.597329,Electricity,,Report: Electricity problem reported near area hospital. citizen notes delays.,0.18
C000081,2025-07-31,dept_safety,Nashik,17.508637,73.932182,Disaster Management,,Report: Disaster Management problem reported near area hospital. citizen notes delays.,0.46
C000082,2024-03-15,dept_safety,Nashik,17.210073,73.311115,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.69
C000083,2025-09-27,dept_safety,Nashik,17.775139,73.162857,Fire,,Report: Fire problem reported near area station. citizen notes delays.,0.91
C000084,2025-05-02,dept_infrastructure,Amravati,17.189169,73.677438,Water Supply,,Report: Water Supply problem reported near area station. citizen notes delays.,0.67
C000085,2024-05-02,dept_safety,Thane,17.388198,73.366218,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.8
C000086,2024-12-04,dept_safety,Amravati,17.324345,73.290804,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.72
C000087,2024-04-12,dept_infrastructure,Aurangabad,17.977146,73.246464,Roads,,Report: Roads problem reported near area school. citizen notes delays.,0.44
C000088,2025-06-21,dept_infrastructure,Solapur,17.81627,73.683249,Electricity,,Report: Electricity problem reported near area market. citizen notes delays.,0.83
C000089,2024-11-28,dept_safety,Nashik,17.702831,73.744837,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.31
C000090,2025-05-13,dept_infrastructure,Amravati,17.634622,73.54443,Water Supply,,Report: Water Supply problem reported near area market. citizen notes delays.,0.8
C000091,2024-07-13,dept_infrastructure,Pune,17.298386,73.122093,Roads,,Report: Roads problem reported near area hospital. citizen notes delays.,0.56
C000092,2024-01-22,dept_health,Thane,17.48618,73.426667,Vector Control,,Report: Vector Control problem reported near area school. citizen notes delays.,0.32
C000093,2024-09-24,dept_infrastructure,Amravati,17.255243,73.057726,Roads,,Report: Roads problem reported near area hospital. citizen notes delays.,0.37
C000094,2025-09-25,dept_health,Pune,17.090292,73.779396,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.51
C000095,2025-04-14,dept_infrastructure,Aurangabad,17.577952,73.764848,Drainage,,Report: Drainage problem reported near area hospital. citizen notes delays.,0.34
C000096,2025-01-29,dept_safety,Kolhapur,17.326619,73.523335,Fire,,Report: Fire problem reported near area station. citizen notes delays.,0.79
C000097,2025-04-08,dept_safety,Kolhapur,17.15186,73.176871,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.66
C000098,2025-06-21,dept_safety,Solapur,17.839856,73.994575,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.48
C000099,2025-09-22,dept_health,Thane,17.618641,73.487361,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.03
C000100,2024-08-05,dept_health,Nagpur,17.584066,73.127582,Healthcare,,Report: Healthcare problem reported near area hospital. citizen notes delays.,0.27
C000101,2024-04-30,dept_health,Solapur,17.778669,73.127596,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.75
C000102,2025-01-31,dept_infrastructure,Pune,17.485846,73.690011,Water Supply,,Report: Water Supply problem reported near area market. citizen notes delays.,0.04
C000103,2024-01-08,dept_infrastructure,Amravati,17.663774,73.521819,Drainage,,Report: Drainage problem reported near area school. citizen notes delays.,0.63
C000104,2024-06-15,dept_safety,Amravati,17.775464,73.556453,Disaster Management,,Report: Disaster Management problem reported near area market. citizen notes delays.,0.69
C000105,2024-11-16,dept_safety,Thane,17.232038,73.683574,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.36
C000106,2025-09-08,dept_infrastructure,Mumbai,17.018026,73.824688,Water Supply,,Resident reports issue. Contact: 9781332587. Needs urgent fix.,0.38
C000107,2024-02-21,dept_health,Mumbai,17.448407,73.628972,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.07
C000108,2025-09-14,dept_safety,Nagpur,17.297978,73.911577,Fire,,Resident reports issue. Contact: 9421139359. Needs urgent fix.,0.83
C000109,2024-04-09,dept_infrastructure,Amravati,17.084844,73.910651,Roads,,Report: Roads problem reported near area school. citizen notes delays.,0.18
C000110,2024-06-03,dept_infrastructure,Thane,17.813235,73.177523,Electricity,,Report: Electricity problem reported near area hospital. citizen notes delays.,0.33
C000111,2024-03-29,dept_health,Kolhapur,17.448736,73.674083,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.17
C000112,2024-12-23,dept_health,Kolhapur,17.774234,73.513227,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.45
C000113,2024-08-30,dept_safety,Pune,17.977163,73.126778,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.95
C000114,2025-05-10,dept_safety,Nashik,17.625773,73.717706,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.79
C000115,2025-09-11,dept_health,Akola,17.699773,73.66471,Healthcare,,Report: Healthcare problem reported near area station. citizen notes delays.,0.49
C000116,2024-03-14,dept_health,Mumbai,17.916362,73.969771,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.46
C000117,2025-01-25,dept_health,Nagpur,17.972685,73.343463,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.36
C000118,2024-12-17,dept_health,Kolhapur,17.089464,73.814455,Vector Control,,Report: Vector Control problem reported near area school. citizen notes delays.,0.9
C000119,2024-08-31,dept_safety,Solapur,17.020415,73.189001,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.14
C000120,2025-03-02,dept_safety,Akola,17.25481,73.01793,Public Safety,,Report: Public Safety problem reported near area station. citizen notes delays.,0.12
C000121,2025-04-13,dept_infrastructure,Thane,17.439714,73.34945,Drainage,,Report: Drainage problem reported near area market. citizen notes delays.,0.22
C000122,2025-06-07,dept_infrastructure,Kolhapur,17.113146,73.54572,Roads,,Report: Roads problem reported near area school. citizen notes delays.,0.01
C000123,2024-06-09,dept_health,Nagpur,17.004845,73.729618,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.69
C000124,2025-07-13,dept_health,Solapur,17.87855,73.912692,Vector Control,,Report: Vector Control problem reported near area hospital. citizen notes delays.,0.76
C000125,2025-02-12,dept_safety,Nagpur,17.320485,73.722527,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.54
C000126,2025-07-18,dept_health,Nashik,17.630417,73.896971,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.05
C000127,2025-02-09,dept_health,Nagpur,17.064052,73.952694,Vector Control,,Report: Vector Control problem reported near area school. citizen notes delays.,0.27
C000128,2025-01-17,dept_health,Kolhapur,17.816957,73.351962,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.18
C000129,2024-12-22,dept_health,Nashik,17.094382,73.227946,Sanitation,,Report: Sanitation problem reported near area market. citizen notes delays.,0.95
C000130,2025-03-21,dept_health,Thane,17.310177,73.94642,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.21
C000131,2025-04-07,dept_infrastructure,Pune,17.985325,73.877999,Electricity,,Report: Electricity problem reported near area school. citizen notes delays.,0.3
C000132,2025-02-15,dept_health,Aurangabad,17.72359,73.464817,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.22
C000133,2025-03-29,dept_safety,Nagpur,17.697746,73.870326,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.94
C000134,2024-02-22,dept_safety,Nagpur,17.892092,73.556579,Disaster Management,,Report: Disaster Management problem reported near area school. citizen notes delays.,0.79
C000135,2025-07-21,dept_infrastructure,Solapur,17.646821,73.079819,Electricity,,Report: Electricity problem reported near area hospital. citizen notes delays.,0.99
C000136,2025-09-08,dept_safety,Thane,17.860599,73.152723,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.04
C000137,2025-04-18,dept_safety,Akola,17.046834,73.825854,Fire,,Report: Fire problem reported near area station. citizen notes delays.,0.22
C000138,2025-05-02,dept_safety,Nagpur,17.073634,73.374095,Disaster Management,,Report: Disaster Management problem reported near area market. citizen notes delays.,0.46
C000139,2024-10-07,dept_health,Aurangabad,17.280376,73.414706,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.28
C000140,2025-02-18,dept_safety,Kolhapur,17.178105,73.874382,Public Safety,,Report: Public Safety problem reported near area market. citizen notes delays.,0.15
C000141,2024-03-23,dept_safety,Mumbai,17.543699,73.692067,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.17
C000142,2024-11-13,dept_infrastructure,Nashik,17.886189,73.735001,Roads,,Report: Roads problem reported near area station. citizen notes delays.,0.01
C000143,2025-09-28,dept_health,Mumbai,17.422953,73.067671,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.93
C000144,2024-07-06,dept_health,Kolhapur,17.80398,73.833405,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.62
C000145,2024-01-09,dept_safety,Amravati,17.619798,73.269997,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.01
C000146,2025-04-12,dept_safety,Kolhapur,17.348944,73.594715,Disaster Management,,Report: Disaster Management problem reported near area school. citizen notes delays.,0.28
C000147,2025-04-29,dept_safety,Aurangabad,17.026317,73.942371,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.04
C000148,2024-04-01,dept_health,Amravati,17.344149,73.283287,Sanitation,,Report: Sanitation problem reported near area market. citizen notes delays.,0.86
C000149,2025-07-25,dept_infrastructure,Aurangabad,17.903413,73.161588,Water Supply,,Report: Water Supply problem reported near area station. citizen notes delays.,0.7
C000150,2024-02-18,dept_health,Aurangabad,17.740763,73.196366,Vector Control,,Report: Vector Control problem reported near area hospital. citizen notes delays.,0.0
C000151,2025-08-23,dept_infrastructure,Kolhapur,17.513364,73.686311,Roads,,Report: Roads problem reported near area station. citizen notes delays.,0.26
C000152,2024-09-18,dept_health,Thane,17.8889,73.119195,Vector Control,,Report: Vector Control problem reported near area school. citizen notes delays.,0.35
C000153,2024-09-08,dept_infrastructure,Kolhapur,17.764229,73.254386,Water Supply,,Report: Water Supply problem reported near area market. citizen notes delays.,0.12
C000154,2024-09-25,dept_infrastructure,Kolhapur,17.558743,73.05841,Roads,,Report: Roads problem reported near area school. citizen notes delays.,0.79
C000155,2025-04-14,dept_safety,Pune,17.326028,73.672453,Public Safety,,Report: Public Safety problem reported near area station. citizen notes delays.,0.77
C000156,2024-12-31,dept_safety,Aurangabad,17.568227,73.291513,Public Safety,,Report: Public Safety problem reported near area school. citizen notes delays.,0.98
C000157,2025-03-18,dept_health,Solapur,17.68795,73.613444,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.32
C000158,2024-10-06,dept_infrastructure,Kolhapur,17.993075,73.873374,Water Supply,,Report: Water Supply problem reported near area station. citizen notes delays.,0.02
C000159,2025-06-11,dept_infrastructure,Amravati,17.273831,73.915786,Roads,,Report: Roads problem reported near area market. citizen notes delays.,0.98
C000160,2025-03-07,dept_infrastructure,Aurangabad,17.405019,73.329671,Roads,,Report: Roads problem reported near area school. citizen notes delays.,0.39
C000161,2024-07-06,dept_infrastructure,Amravati,17.269892,73.983332,Electricity,,Report: Electricity problem reported near area market. citizen notes delays.,0.62
C000162,2025-04-15,dept_infrastructure,Mumbai,17.717048,73.741209,Water Supply,,Report: Water Supply problem reported near area school. citizen notes delays.,0.83
C000163,2025-01-14,dept_health,Akola,17.049508,73.781049,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.06
C000164,2024-10-29,dept_safety,Thane,17.762983,73.349059,Disaster Management,,Report: Disaster Management problem reported near area market. citizen notes delays.,0.49
C000165,2025-07-02,dept_safety,Nagpur,17.518785,73.045943,Disaster Management,,Report: Disaster Management problem reported near area school. citizen notes delays.,0.22
C000166,2024-01-03,dept_health,Solapur,17.299729,73.088972,Healthcare,,Report: Healthcare problem reported near area school. citizen notes delays.,0.79
C000167,2024-04-30,dept_infrastructure,Thane,17.804346,73.427349,Water Supply,,Report: Water Supply problem reported near area hospital. citizen notes delays.,0.28
C000168,2025-09-16,dept_infrastructure,Solapur,17.64446,73.009759,Drainage,,Report: Drainage problem reported near area hospital. citizen notes delays.,0.06
C000169,2024-04-19,dept_safety,Nashik,17.362669,73.660521,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.11
C000170,2025-08-28,dept_health,Mumbai,17.673826,73.824232,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.75
C000171,2025-01-11,dept_infrastructure,Solapur,17.891423,73.799077,Water Supply,,Report: Water Supply problem reported near area school. citizen notes delays.,0.13
C000172,2025-03-05,dept_safety,Akola,17.492471,73.626312,Fire,,Report: Fire problem reported near area station. citizen notes delays.,0.75
C000173,2024-01-05,dept_safety,Akola,17.292324,73.945257,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.65
C000174,2024-02-11,dept_infrastructure,Nagpur,17.040894,73.022962,Drainage,,Report: Drainage problem reported near area hospital. citizen notes delays.,0.79
C000175,2024-12-15,dept_health,Nagpur,17.052185,73.78524,Sanitation,,Report: Sanitation problem reported near area market. citizen notes delays.,0.07
C000176,2025-02-24,dept_infrastructure,Nashik,17.152973,73.992138,Electricity,,Report: Electricity problem reported near area station. citizen notes delays.,0.79
C000177,2024-08-22,dept_infrastructure,Pune,17.054585,73.493997,Electricity,,Report: Electricity problem reported near area market. citizen notes delays.,0.03
C000178,2025-08-14,dept_infrastructure,Solapur,17.043738,73.787003,Electricity,,Report: Electricity problem reported near area hospital. citizen notes delays.,0.33
C000179,2024-12-17,dept_health,Akola,17.967404,73.879087,Healthcare,,Report: Healthcare problem reported near area market. citizen notes delays.,0.93
C000180,2024-04-17,dept_health,Nagpur,17.457792,73.14425,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.01
C000181,2024-06-09,dept_safety,Nashik,17.330128,73.380618,Public Safety,,Report: Public Safety problem reported near area hospital. citizen notes delays.,0.71
C000182,2024-03-02,dept_health,Pune,17.386451,73.101406,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.62
C000183,2025-09-24,dept_health,Thane,17.061991,73.169169,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.7
C000184,2025-02-05,dept_safety,Nashik,17.241021,73.579647,Public Safety,,Report: Public Safety problem reported near area market. citizen notes delays.,0.2
C000185,2024-12-13,dept_safety,Mumbai,17.422587,73.155592,Fire,,Report: Fire problem reported near area hospital. citizen notes delays.,0.72
C000186,2025-09-06,dept_infrastructure,Solapur,17.679688,73.002659,Drainage,,Report: Drainage problem reported near area station. citizen notes delays.,0.46
C000187,2024-03-27,dept_health,Solapur,17.380925,73.009162,Vector Control,,Report: Vector Control problem reported near area market. citizen notes delays.,0.93
C000188,2025-04-16,dept_health,Nagpur,17.09621,73.211359,Healthcare,,Report: Healthcare problem reported near area station. citizen notes delays.,0.45
C000189,2025-04-30,dept_infrastructure,Mumbai,17.644901,73.754579,Drainage,,Report: Drainage problem reported near area station. citizen notes delays.,0.71
C000190,2024-11-14,dept_safety,Mumbai,17.375425,73.222657,Disaster Management,,Report: Disaster Management problem reported near area hospital. citizen notes delays.,0.38
C000191,2024-05-05,dept_safety,Solapur,17.358225,73.374123,Public Safety,,Report: Public Safety problem reported near area station. citizen notes delays.,0.79
C000192,2024-08-11,dept_safety,Nagpur,17.135505,73.770069,Public Safety,,Report: Public Safety problem reported near area station. citizen notes delays.,1.0
C000193,2024-07-13,dept_health,Thane,17.545525,73.197704,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.67
C000194,2025-06-13,dept_health,Mumbai,17.762112,73.694448,Sanitation,,Report: Sanitation problem reported near area market. citizen notes delays.,0.97
C000195,2024-12-08,dept_safety,Pune,17.046957,73.324488,Fire,,Report: Fire problem reported near area station. citizen notes delays.,0.39
C000196,2025-03-08,dept_health,Kolhapur,17.686467,73.777444,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.63
C000197,2024-12-29,dept_health,Nashik,17.122248,73.416614,Healthcare,,Report: Healthcare problem reported near area hospital. citizen notes delays.,0.35
C000198,2024-07-17,dept_safety,Pune,17.912593,73.863216,Disaster Management,,Report: Disaster Management problem reported near area school. citizen notes delays.,0.92
C000199,2024-05-14,dept_infrastructure,Aurangabad,17.70389,73.92357,Electricity,,Report: Electricity problem reported near area station. citizen notes delays.,0.31
C000200,2025-05-14,dept_infrastructure,Aurangabad,17.628266,73.687784,Drainage,,Report: Drainage problem reported near area station. citizen notes delays.,0.94
C000201,2025-10-01,dept_safety,Aurangabad,17.933886,73.204534,Fire,,Report: Fire problem reported near area market. citizen notes delays.,0.52
C000202,2025-08-30,dept_health,Solapur,17.94594,73.488673,Vector Control,,Report: Vector Control problem reported near area station. citizen notes delays.,0.31
C000203,2024-07-08,dept_health,Thane,17.092057,73.533676,Sanitation,,Report: Sanitation problem reported near area school. citizen notes delays.,0.29
